Gene.ID,C,A,P,AP,Cluster
HORVU.MOREX.r3.1HG0018110,1531,2191,1490,1241,c2
HORVU.MOREX.r3.1HG0018210,241,262,190,211,c3
HORVU.MOREX.r3.1HG0018260,426,1096,2044,2013,c5
HORVU.MOREX.r3.1HG0018350,44,38,10,3,c1
HORVU.MOREX.r3.1HG0018620,77,95,14,18,c1
HORVU.MOREX.r3.1HG0018930,176,187,190,220,c3
HORVU.MOREX.r3.1HG0019100,54,58,87,74,c1
HORVU.MOREX.r3.1HG0019150,55,59,10,7,c1
HORVU.MOREX.r3.1HG0019160,53,53,7,10,c1
HORVU.MOREX.r3.1HG0019230,73,39,101,106,c1
HORVU.MOREX.r3.1HG0019260,663,598,977,822,c2
HORVU.MOREX.r3.1HG0019320,69,56,8,13,c1
HORVU.MOREX.r3.1HG0019330,343,343,1112,1031,c2
HORVU.MOREX.r3.1HG0019340,2256,2391,353,241,c1
HORVU.MOREX.r3.1HG0019390,42,47,31,54,c1
HORVU.MOREX.r3.1HG0019650,404,383,68,66,c1
HORVU.MOREX.r3.1HG0019680,84,57,63,43,c1
HORVU.MOREX.r3.1HG0019970,92,202,1425,603,c2
HORVU.MOREX.r3.1HG0020190,12,13,48,49,c1
HORVU.MOREX.r3.1HG0020220,141,171,227,140,c6
HORVU.MOREX.r3.1HG0020260,48,59,86,99,c1
HORVU.MOREX.r3.1HG0020300,100,90,20,26,c1
HORVU.MOREX.r3.1HG0020310,97,109,13,18,c1
HORVU.MOREX.r3.1HG0020440,17,134,491,365,c2
HORVU.MOREX.r3.1HG0020820,309,221,32,23,c1
HORVU.MOREX.r3.1HG0020990,22,30,22,14,c1
HORVU.MOREX.r3.1HG0021100,184,175,23,14,c1
HORVU.MOREX.r3.1HG0021110,56,44,5,3,c1
HORVU.MOREX.r3.1HG0021150,70,81,8,13,c1
HORVU.MOREX.r3.1HG0021320,253,220,51,31,c1
HORVU.MOREX.r3.1HG0021340,286,394,750,519,c2
HORVU.MOREX.r3.1HG0021350,170,331,478,445,c5
HORVU.MOREX.r3.1HG0021360,23,46,56,50,c1
HORVU.MOREX.r3.1HG0021690,16,9,85,92,c1
HORVU.MOREX.r3.1HG0021710,1882,2801,135,177,c1
HORVU.MOREX.r3.1HG0021770,92,106,19,11,c1
HORVU.MOREX.r3.1HG0021800,14,10,26,34,c1
HORVU.MOREX.r3.1HG0021960,5806,11405,4850,4726,c2
HORVU.MOREX.r3.1HG0021970,2479,7670,4095,3578,c2
HORVU.MOREX.r3.1HG0022120,96,74,20,20,c1
HORVU.MOREX.r3.1HG0022330,228,197,37,27,c1
HORVU.MOREX.r3.1HG0022340,269,233,50,43,c1
HORVU.MOREX.r3.1HG0022460,319,296,284,226,c2
HORVU.MOREX.r3.1HG0022760,160,252,159,114,c4
HORVU.MOREX.r3.1HG0022780,2928,4730,2408,2368,c5
HORVU.MOREX.r3.1HG0023580,97,130,18,16,c1
HORVU.MOREX.r3.1HG0023640,9,14,58,41,c1
HORVU.MOREX.r3.1HG0023680,42,30,28,30,c1
HORVU.MOREX.r3.1HG0023740,32,47,9,5,c1
HORVU.MOREX.r3.1HG0023870,929,618,146,254,c1
HORVU.MOREX.r3.1HG0024020,140,113,90,88,c1
HORVU.MOREX.r3.1HG0024050,359,319,81,24,c1
HORVU.MOREX.r3.1HG0024090,4018,5849,747,662,c4
HORVU.MOREX.r3.1HG0024290,379,360,83,77,c1
HORVU.MOREX.r3.1HG0024440,965,1530,219,140,c4
HORVU.MOREX.r3.1HG0024500,98,94,20,26,c1
HORVU.MOREX.r3.1HG0024560,289,229,47,51,c1
HORVU.MOREX.r3.1HG0024730,1033,1464,958,709,c2
HORVU.MOREX.r3.1HG0024740,75,29,35,23,c1
HORVU.MOREX.r3.1HG0024980,325,306,73,53,c1
HORVU.MOREX.r3.1HG0025510,0,2,13,34,c1
HORVU.MOREX.r3.1HG0025720,2389,1829,454,428,c1
HORVU.MOREX.r3.1HG0025790,131,106,28,41,c1
HORVU.MOREX.r3.1HG0025900,107,107,7,8,c1
HORVU.MOREX.r3.1HG0026010,88,87,7,6,c1
HORVU.MOREX.r3.1HG0026900,926,823,184,186,c1
HORVU.MOREX.r3.1HG0026940,577,581,117,98,c1
HORVU.MOREX.r3.1HG0026950,86,77,27,16,c1
HORVU.MOREX.r3.1HG0027000,94,40,0,1,c1
HORVU.MOREX.r3.1HG0027200,563,539,126,91,c1
HORVU.MOREX.r3.1HG0027490,71,153,47,44,c1
HORVU.MOREX.r3.1HG0027590,17,39,28,34,c1
HORVU.MOREX.r3.1HG0027640,216,226,128,229,c3
HORVU.MOREX.r3.1HG0027650,28,49,53,67,c1
HORVU.MOREX.r3.1HG0027890,32.66666667,47.66666667,10,11,c7
HORVU.MOREX.r3.1HG0027950,227,235,21,20,c1
HORVU.MOREX.r3.1HG0028150,27,28,90,94,c1
HORVU.MOREX.r3.1HG0028220,223,181,40,35,c1
HORVU.MOREX.r3.1HG0028230,47,59,8,7,c1
HORVU.MOREX.r3.1HG0029360,133,442,153,116,c4
HORVU.MOREX.r3.1HG0029480,178,421,988,1129,c5
HORVU.MOREX.r3.1HG0029490,3591,3450,805,662,c1
HORVU.MOREX.r3.1HG0029620,63,76,12,14,c1
HORVU.MOREX.r3.1HG0029730,2484,3448,2494,1855,c2
HORVU.MOREX.r3.1HG0029910,54,93,201,119,c6
HORVU.MOREX.r3.1HG0030630,71,67,9,5,c1
HORVU.MOREX.r3.1HG0030730,49,76,79,50,c1
HORVU.MOREX.r3.1HG0031210,115,161,128,111,c1
HORVU.MOREX.r3.1HG0031380,37.33333333,24.66666667,25.33333333,18.33333333,c7
HORVU.MOREX.r3.1HG0031980,135,111,23,26,c1
HORVU.MOREX.r3.1HG0032260,183,234,169,135,c4
HORVU.MOREX.r3.1HG0032470,474,402,101,106,c1
HORVU.MOREX.r3.1HG0032760,796,725,168,160,c1
HORVU.MOREX.r3.1HG0033390,3410,2967,757,570,c4
HORVU.MOREX.r3.1HG0034560,1527,1039,282,260,c1
HORVU.MOREX.r3.1HG0035140,135,106,28,29,c1
HORVU.MOREX.r3.1HG0035350,303,270,519,417,c2
HORVU.MOREX.r3.1HG0035400,111.6666667,84,80.66666667,59.33333333,c7
HORVU.MOREX.r3.1HG0036330,14,23,25,14,c1
HORVU.MOREX.r3.1HG0036370,311,337,223,90,c4
HORVU.MOREX.r3.1HG0037500,2979,1105,271,360,c1
HORVU.MOREX.r3.1HG0037780,162,148,37,34,c1
HORVU.MOREX.r3.1HG0037800,138,132,30,16,c1
HORVU.MOREX.r3.1HG0038590,1547,3517,2945,2418,c2
HORVU.MOREX.r3.1HG0038620,32,44,14,6,c1
HORVU.MOREX.r3.1HG0038630,141,208,42,38,c1
HORVU.MOREX.r3.1HG0038800,28,58,140,115,c1
HORVU.MOREX.r3.1HG0038930,17,32,23,13,c1
HORVU.MOREX.r3.1HG0039160,339,467,69,97,c1
HORVU.MOREX.r3.1HG0039240,339,177,135,190,c3
HORVU.MOREX.r3.1HG0039860,331,346,60,47,c1
HORVU.MOREX.r3.1HG0040000,584,694,598,339,c2
HORVU.MOREX.r3.1HG0040100,87,94,19,27,c1
HORVU.MOREX.r3.1HG0040570,151,63,15,18,c1
HORVU.MOREX.r3.1HG0040610,86,96,20,12,c1
HORVU.MOREX.r3.1HG0040900,272,298,59,65,c1
HORVU.MOREX.r3.1HG0040990,12,19,17,21,c1
HORVU.MOREX.r3.1HG0041230,44,33,8,11,c1
HORVU.MOREX.r3.1HG0041280,283,102,9,2,c1
HORVU.MOREX.r3.1HG0041440,67,59,105,49,c4
HORVU.MOREX.r3.1HG0041630,1514,1929,1710,1263,c2
HORVU.MOREX.r3.1HG0042060,87,53,8,9,c1
HORVU.MOREX.r3.1HG0042100,124,103,24,36,c1
HORVU.MOREX.r3.1HG0043600,642,604,793,764,c5
HORVU.MOREX.r3.1HG0043800,40,50,135,88,c4
HORVU.MOREX.r3.1HG0043850,80,64,47,66,c1
HORVU.MOREX.r3.1HG0044100,468,399,86,98,c1
HORVU.MOREX.r3.1HG0044290,126,175,195,152,c6
HORVU.MOREX.r3.1HG0044370,52,42,9,3,c1
HORVU.MOREX.r3.1HG0044490,38,22,29,23,c1
HORVU.MOREX.r3.1HG0044850,129,75,56,55,c1
HORVU.MOREX.r3.1HG0045540,117,116,26,16,c1
HORVU.MOREX.r3.1HG0046020,51,62,72,71,c1
HORVU.MOREX.r3.1HG0046030,354,334,74,76,c1
HORVU.MOREX.r3.1HG0046230,1920,1137,156,107,c1
HORVU.MOREX.r3.1HG0046320,102,176,195,206,c5
HORVU.MOREX.r3.1HG0046330,3574,4131,5009,5676,c5
HORVU.MOREX.r3.1HG0046400,26,53,522,319,c2
HORVU.MOREX.r3.1HG0046460,33,57,186,168,c5
HORVU.MOREX.r3.1HG0046650,103,92,13,9,c1
HORVU.MOREX.r3.1HG0046850,107,151,208,164,c2
HORVU.MOREX.r3.1HG0046900,79,76,81,50,c1
HORVU.MOREX.r3.1HG0047100,18,16,20,23,c1
HORVU.MOREX.r3.1HG0047110,280,581,148,160,c1
HORVU.MOREX.r3.1HG0047320,260,392,660,606,c2
HORVU.MOREX.r3.1HG0047480,49,24,3,3,c1
HORVU.MOREX.r3.1HG0047660,1257,1926,2883,2963,c5
HORVU.MOREX.r3.1HG0047710,555,374,73,55,c1
HORVU.MOREX.r3.1HG0048010,724,802,752,515,c2
HORVU.MOREX.r3.1HG0048040,386,509,361,304,c2
HORVU.MOREX.r3.1HG0048080,611,1003,832,414,c2
HORVU.MOREX.r3.1HG0048090,160,298,236,100,c6
HORVU.MOREX.r3.1HG0048880,14304,17268,1685,1597,c1
HORVU.MOREX.r3.1HG0048990,98,89,20,20,c1
HORVU.MOREX.r3.1HG0049060,151,175,113,136,c1
HORVU.MOREX.r3.1HG0049170,2,56,74,63,c1
HORVU.MOREX.r3.1HG0049410,42,40,82,67,c1
HORVU.MOREX.r3.1HG0049450,15,38,35,31,c1
HORVU.MOREX.r3.1HG0049460,310,290,232,258,c5
HORVU.MOREX.r3.1HG0049480,18,15,44,30,c1
HORVU.MOREX.r3.1HG0049600,113,92,131,104,c1
HORVU.MOREX.r3.1HG0049620,147,112,22,30,c1
HORVU.MOREX.r3.1HG0049840,29,37,41,16,c1
HORVU.MOREX.r3.1HG0049910,332,317,476,422,c2
HORVU.MOREX.r3.1HG0049980,173,114,114,94,c1
HORVU.MOREX.r3.1HG0050070,38,68,16,36,c1
HORVU.MOREX.r3.1HG0050080,506,504,104,119,c1
HORVU.MOREX.r3.1HG0050110,267,211,53,60,c1
HORVU.MOREX.r3.1HG0050330,21,13,35,30,c1
HORVU.MOREX.r3.1HG0050670,173,87,22,43,c1
HORVU.MOREX.r3.1HG0050700,717,745,534,648,c5
HORVU.MOREX.r3.1HG0050880,189,178,41,36,c1
HORVU.MOREX.r3.1HG0051020,65,95,29,14,c1
HORVU.MOREX.r3.1HG0051090,140,88,332,218,c2
HORVU.MOREX.r3.1HG0051100,80,17,9,7,c1
HORVU.MOREX.r3.1HG0051180,34,79,138,153,c3
HORVU.MOREX.r3.1HG0051220,302,364,239,275,c5
HORVU.MOREX.r3.1HG0051380,35,50,6,7,c1
HORVU.MOREX.r3.1HG0051670,205,252,205,145,c4
HORVU.MOREX.r3.1HG0051740,439,538,951,1129,c5
HORVU.MOREX.r3.1HG0051750,99,127,178,193,c5
HORVU.MOREX.r3.1HG0051770,1,8,79,87,c1
HORVU.MOREX.r3.1HG0051870,373,776,716,713,c5
HORVU.MOREX.r3.1HG0051880,44,79,110,85,c1
HORVU.MOREX.r3.1HG0051890,198,312,346,323,c5
HORVU.MOREX.r3.1HG0051910,320,680,1812,1189,c2
HORVU.MOREX.r3.1HG0052020,146,189,199,196,c5
HORVU.MOREX.r3.1HG0052080,1076,831,235,236,c1
HORVU.MOREX.r3.1HG0052400,148,88,20,21,c1
HORVU.MOREX.r3.1HG0052510,273,325,294,222,c2
HORVU.MOREX.r3.1HG0052700,190,254,156,147,c1
HORVU.MOREX.r3.1HG0052800,642,719,29,32,c1
HORVU.MOREX.r3.1HG0052980,195,214,28,27,c1
HORVU.MOREX.r3.1HG0053060,627,1049,273,201,c4
HORVU.MOREX.r3.1HG0053170,634,696,836,825,c5
HORVU.MOREX.r3.1HG0053260,1881,1933,352,295,c1
HORVU.MOREX.r3.1HG0053440,130,192,119,111,c1
HORVU.MOREX.r3.1HG0053480,116,117,137,101,c4
HORVU.MOREX.r3.1HG0053590,154,516,527,300,c2
HORVU.MOREX.r3.1HG0053670,1305,1432,230,182,c1
HORVU.MOREX.r3.1HG0053700,93,89,154,114,c4
HORVU.MOREX.r3.1HG0053890,115,79,18,13,c1
HORVU.MOREX.r3.1HG0053910,129,89,22,20,c1
HORVU.MOREX.r3.1HG0054010,550,838,1373,942,c2
HORVU.MOREX.r3.1HG0054020,92,73,134,102,c1
HORVU.MOREX.r3.1HG0054160,112,156,273,233,c2
HORVU.MOREX.r3.1HG0054510,326,347,605,547,c2
HORVU.MOREX.r3.1HG0054530,4677,4520,892,744,c1
HORVU.MOREX.r3.1HG0054770,60,95,104,74,c1
HORVU.MOREX.r3.1HG0054870,24,39,73,85,c1
HORVU.MOREX.r3.1HG0054950,670,911,3023,6949,c5
HORVU.MOREX.r3.1HG0054960,83,89,95,117,c1
HORVU.MOREX.r3.1HG0055030,153,145,27,37,c1
HORVU.MOREX.r3.1HG0055040,32,44,4,4,c1
HORVU.MOREX.r3.1HG0055360,299,177,40,48,c1
HORVU.MOREX.r3.1HG0055550,78,93,120,142,c3
HORVU.MOREX.r3.1HG0055560,236,219,252,213,c2
HORVU.MOREX.r3.1HG0055700,15,48,37,65,c1
HORVU.MOREX.r3.1HG0055720,427,618,545,444,c2
HORVU.MOREX.r3.1HG0055730,31,31,34,29,c1
HORVU.MOREX.r3.1HG0055870,13,13,33,25,c1
HORVU.MOREX.r3.1HG0055890,1868,4398,6422,4998,c2
HORVU.MOREX.r3.1HG0055960,206,257,45,46,c1
HORVU.MOREX.r3.1HG0056230,174,168,47,34,c1
HORVU.MOREX.r3.1HG0056240,49,48,147,80,c4
HORVU.MOREX.r3.1HG0056410,263,431,218,214,c3
HORVU.MOREX.r3.1HG0056440,117,77,42,22,c1
HORVU.MOREX.r3.1HG0056490,100,235,379,299,c2
HORVU.MOREX.r3.1HG0056640,1115,1106,72,83,c1
HORVU.MOREX.r3.1HG0056660,21,35,33,27,c1
HORVU.MOREX.r3.1HG0056730,214,264,221,216,c5
HORVU.MOREX.r3.1HG0056980,63,46,13,13,c1
HORVU.MOREX.r3.1HG0057010,135,106,16,20,c1
HORVU.MOREX.r3.1HG0057210,22,16,22,16,c1
HORVU.MOREX.r3.1HG0057350,714,739,879,761,c2
HORVU.MOREX.r3.1HG0057410,342,458,354,211,c6
HORVU.MOREX.r3.1HG0057490,45,41,29,37,c1
HORVU.MOREX.r3.1HG0057580,24,102,151,115,c4
HORVU.MOREX.r3.1HG0057750,34,201,193,145,c6
HORVU.MOREX.r3.1HG0057870,474,448,125,90,c1
HORVU.MOREX.r3.1HG0058170,423,416,275,308,c5
HORVU.MOREX.r3.1HG0058180,58,50,12,19,c1
HORVU.MOREX.r3.1HG0058310,51,50,59,44,c1
HORVU.MOREX.r3.1HG0058340,119,114,12,11,c1
HORVU.MOREX.r3.1HG0058510,300,315,58,57,c1
HORVU.MOREX.r3.1HG0058550,95,72,17,10,c1
HORVU.MOREX.r3.1HG0058930,1,11,46,35,c1
HORVU.MOREX.r3.1HG0059000,27,22,35,35,c1
HORVU.MOREX.r3.1HG0059080,71,76,50,59,c1
HORVU.MOREX.r3.1HG0059300,314,343,549,357,c2
HORVU.MOREX.r3.1HG0059350,37,41,8.666666667,8,c7
HORVU.MOREX.r3.1HG0059360,61,43,8,8,c1
HORVU.MOREX.r3.1HG0059420,11,13,36,28,c1
HORVU.MOREX.r3.1HG0059440,139,119.6666667,113,89,c7
HORVU.MOREX.r3.1HG0059470,960,276,71,46,c1
HORVU.MOREX.r3.1HG0059670,98,40,1,2,c1
HORVU.MOREX.r3.1HG0059680,195,83,91,89,c1
HORVU.MOREX.r3.1HG0059740,70,75,48,75,c1
HORVU.MOREX.r3.1HG0059810,11,12,37,26,c1
HORVU.MOREX.r3.1HG0060140,362,223,76,90,c1
HORVU.MOREX.r3.1HG0060200,20,25,75,17,c4
HORVU.MOREX.r3.1HG0060240,96,76,17,15,c1
HORVU.MOREX.r3.1HG0060360,69,129,212,202,c5
HORVU.MOREX.r3.1HG0060410,77,64,13,9,c1
HORVU.MOREX.r3.1HG0060630,2159,3892,4073,2966,c2
HORVU.MOREX.r3.1HG0060640,1173,1833,2098,1891,c2
HORVU.MOREX.r3.1HG0061280,21,10,16,22,c1
HORVU.MOREX.r3.1HG0061300,29,72,373,351,c5
HORVU.MOREX.r3.1HG0061370,192,203,189,164,c1
HORVU.MOREX.r3.1HG0061420,51,47,49,30,c1
HORVU.MOREX.r3.1HG0061670,84,68,16,20,c1
HORVU.MOREX.r3.1HG0061750,1241,1049,262,236,c1
HORVU.MOREX.r3.1HG0062110,613,584,112,87,c1
HORVU.MOREX.r3.1HG0062130,325,304,59,54,c1
HORVU.MOREX.r3.1HG0062420,64,107,98,88,c1
HORVU.MOREX.r3.1HG0062480,364,277,276,331,c5
HORVU.MOREX.r3.1HG0062680,1456,1457,1250,1202,c5
HORVU.MOREX.r3.1HG0062770,268,378,252,159,c6
HORVU.MOREX.r3.1HG0063020,654,691,111,83,c1
HORVU.MOREX.r3.1HG0063330,4,2,79,39,c4
HORVU.MOREX.r3.1HG0063430,1414,1632,964,1264,c5
HORVU.MOREX.r3.1HG0063550,124,101,26,26,c1
HORVU.MOREX.r3.1HG0063610,48,34,7,5,c1
HORVU.MOREX.r3.1HG0063630,29,27,178,140,c2
HORVU.MOREX.r3.1HG0063880,197,187,336,286,c2
HORVU.MOREX.r3.1HG0063930,172,240,176,102,c4
HORVU.MOREX.r3.1HG0063980,42,66,279,261,c5
HORVU.MOREX.r3.1HG0064290,651,553,96,98,c1
HORVU.MOREX.r3.1HG0064340,89,129,123,70,c4
HORVU.MOREX.r3.1HG0064390,560,612,994,644,c2
HORVU.MOREX.r3.1HG0064730,386,280,90,75,c1
HORVU.MOREX.r3.1HG0064880,141,301,570,257,c2
HORVU.MOREX.r3.1HG0064890,178,321,445,246,c2
HORVU.MOREX.r3.1HG0064900,730,1092,1171,893,c2
HORVU.MOREX.r3.1HG0064920,165,265,175,104,c4
HORVU.MOREX.r3.1HG0065010,51,33,3,3,c1
HORVU.MOREX.r3.1HG0065060,44,74,262,189,c2
HORVU.MOREX.r3.1HG0065070,26,44,172,104,c6
HORVU.MOREX.r3.1HG0065130,486,455,1055,1041,c5
HORVU.MOREX.r3.1HG0065530,826,727,162,188,c1
HORVU.MOREX.r3.1HG0065550,745,631,674,523,c2
HORVU.MOREX.r3.1HG0065600,1396,1264,275,271,c1
HORVU.MOREX.r3.1HG0066040,161,183,28,30,c1
HORVU.MOREX.r3.1HG0066180,290,138,65,86,c1
HORVU.MOREX.r3.1HG0066190,1113,1715,1016,772,c2
HORVU.MOREX.r3.1HG0066210,103,136,138,91,c4
HORVU.MOREX.r3.1HG0066240,268,280,240,176,c6
HORVU.MOREX.r3.1HG0066250,97,99,88,73,c1
HORVU.MOREX.r3.1HG0066260,367,211,64,72,c1
HORVU.MOREX.r3.1HG0066390,565,588,78,99,c1
HORVU.MOREX.r3.1HG0066460,681,1179,160,157,c1
HORVU.MOREX.r3.1HG0066600,47,39,11,7,c1
HORVU.MOREX.r3.1HG0066680,537,545,794,1675,c5
HORVU.MOREX.r3.1HG0067030,36,47,45,47,c1
HORVU.MOREX.r3.1HG0067140,16,2,66,220,c3
HORVU.MOREX.r3.1HG0067180,53,10,695,1546,c5
HORVU.MOREX.r3.1HG0067190,26,28,176,364,c5
HORVU.MOREX.r3.1HG0067260,61,60,121,130,c3
HORVU.MOREX.r3.1HG0067390,371,298,63,49,c1
HORVU.MOREX.r3.1HG0067500,144,183,217,272,c5
HORVU.MOREX.r3.1HG0067550,74,40,6,4,c1
HORVU.MOREX.r3.1HG0067630,32.66666667,13.66666667,26,17.66666667,c7
HORVU.MOREX.r3.1HG0067720,43,55,9,8,c1
HORVU.MOREX.r3.1HG0067870,230,454,229,262,c3
HORVU.MOREX.r3.1HG0068100,95,68,29,16,c1
HORVU.MOREX.r3.1HG0068310,113,216,324,262,c2
HORVU.MOREX.r3.1HG0068410,128.6666667,117.6666667,108,72,c7
HORVU.MOREX.r3.1HG0068480,53,83,9,8,c1
HORVU.MOREX.r3.1HG0068490,261,364,23,10,c1
HORVU.MOREX.r3.1HG0068710,200,331,432,425,c5
HORVU.MOREX.r3.1HG0068770,45,58,8,7,c1
HORVU.MOREX.r3.1HG0068810,10,15,60,34,c1
HORVU.MOREX.r3.1HG0068870,85,69,19,22,c1
HORVU.MOREX.r3.1HG0068880,4860,3491,788,762,c1
HORVU.MOREX.r3.1HG0069010,5,10,60,39,c1
HORVU.MOREX.r3.1HG0069030,409,553,744,447,c2
HORVU.MOREX.r3.1HG0069100,92,63,5,4,c1
HORVU.MOREX.r3.1HG0069130,997,806,257,79,c4
HORVU.MOREX.r3.1HG0069290,517,780,749,400,c2
HORVU.MOREX.r3.1HG0069410,619,821,916,836,c2
HORVU.MOREX.r3.1HG0069460,44,46,58,49,c1
HORVU.MOREX.r3.1HG0069550,45,22,13,7,c1
HORVU.MOREX.r3.1HG0069570,328,375,72,42,c1
HORVU.MOREX.r3.1HG0069580,31,57,27,37,c1
HORVU.MOREX.r3.1HG0069640,16,55,6,5,c1
HORVU.MOREX.r3.1HG0069670,353,313,72,100,c1
HORVU.MOREX.r3.1HG0069740,136,195,143,125,c1
HORVU.MOREX.r3.1HG0069750,1157,1704,1111,931,c2
HORVU.MOREX.r3.1HG0069760,80,61,14,12,c1
HORVU.MOREX.r3.1HG0069830,34,48,39,35,c1
HORVU.MOREX.r3.1HG0069870,103,73,129,123,c1
HORVU.MOREX.r3.1HG0069880,319,299.6666667,283.6666667,193.3333333,c7
HORVU.MOREX.r3.1HG0069950,75,83,15,11,c1
HORVU.MOREX.r3.1HG0069960,40,38,44,31,c1
HORVU.MOREX.r3.1HG0070150,133,191,28,32,c1
HORVU.MOREX.r3.1HG0070200,46,29,27,22,c1
HORVU.MOREX.r3.1HG0070210,162.6666667,213.3333333,36.66666667,40.33333333,c7
HORVU.MOREX.r3.1HG0070340,286,376,658,489,c2
